探测器编号 时间 桩号 车速 车牌
D202150120001 2021-04-25T15:01 K31+950 4919 蓝渝AJ6Z83
D202150120001 2021-04-25T15:01 K31+950 5403 蓝渝F66Z69
D202150120001 2021-04-25T15:01 K31+950 4297 蓝渝AZ9G98
D202150120001 2021-04-25T15:00 K31+950 3709 蓝渝AD777J
D202150120001 2021-04-25T15:00 K31+950 4164 蓝渝A7F2S2
D202150120001 2021-04-25T15:00 K31+950 3537 蓝渝F87R01
D202150120001 2021-04-25T15:00 K31+950 3587 NO
D202150120001 2021-04-25T15:00 K31+950 3553 蓝渝FT3959
D202150120001 2021-04-25T15:00 K31+950 5127 蓝赣G325A2
D202150120001 2021-04-25T15:00 K31+950 4488 蓝渝AT8848
D202150120001 2021-04-25T15:00 K31+950 4328 蓝渝AZ901U
D202150120001 2021-04-25T15:00 K31+950 4015 蓝渝AL83E6
D202150120001 2021-04-25T15:00 K31+950 4167 蓝渝F166F5
D202150120001 2021-04-25T15:00 K31+950 6169 蓝渝B39D07
D202150120001 2021-04-25T15:00 K31+950 4706 蓝渝FAP109
D202150120001 2021-04-25T15:00 K31+950 4126 蓝渝FFP755
D202150120001 2021-04-25T15:00 K31+950 4968 蓝湘A22MV0
D202150120001 2021-04-25T15:00 K31+950 3682 NO
D202150120001 2021-04-25T15:00 K31+950 4391 蓝渝A8WK97
D202150120001 2021-04-25T14:59 K31+950 4748 蓝渝F2L197
D202150120001 2021-04-25T14:59 K31+950 4780 蓝渝DHM009
D202150120001 2021-04-25T14:59 K31+950 4089 蓝渝A197HP
D202150120001 2021-04-25T14:59 K31+950 4423 蓝鄂QF2Z67
D202150120001 2021-04-25T14:59 K31+950 4671 蓝渝AM23W7
D202150120001 2021-04-25T14:59 K31+950 4798 蓝渝D6R810
D202150120001 2021-04-25T14:59 K31+950 4956 蓝渝FDD101
D202150120001 2021-04-25T14:59 K31+950 5038 NO
D202150120001 2021-04-25T14:59 K31+950 5413 NO
D202150120001 2021-04-25T14:59 K31+950 5359 蓝渝AZ926T
D202150120001 2021-04-25T14:59 K31+950 4656 蓝渝F990Q3
D202150120001 2021-04-25T14:59 K31+950 5044 蓝渝FAW127
D202150120001 2021-04-25T14:59 K31+950 4784 蓝渝AF9T02
D202150120001 2021-04-25T14:59 K31+950 5125 蓝渝F8L115
D202150120001 2021-04-25T14:59 K31+950 4147 蓝川FNM581
D202150120001 2021-04-25T14:59 K31+950 4837 蓝渝A730VS
D202150120001 2021-04-25T14:59 K31+950 4578 蓝渝F82A96
D202150120001 2021-04-25T14:58 K31+950 4126 蓝渝AK666E
D202150120001 2021-04-25T14:58 K31+950 5025 蓝渝D9Q350
D202150120001 2021-04-25T14:58 K31+950 4932 蓝渝F9B799
D202150120001 2021-04-25T14:58 K31+950 4689 蓝渝AJ661N
D202150120001 2021-04-25T14:58 K31+950 3813 蓝贵D9B029
D202150120001 2021-04-25T14:58 K31+950 3652 蓝渝FRX399
D202150120001 2021-04-25T14:58 K31+950 4773 蓝渝A983HY
D202150120001 2021-04-25T14:58 K31+950 5010 蓝渝AQ0V57
D202150120001 2021-04-25T14:58 K31+950 3599 蓝川A6N65Q
D202150120001 2021-04-25T14:57 K31+950 4553 蓝渝FB3379
D202150120001 2021-04-25T14:57 K31+950 3775 蓝渝D8G511
D202150120001 2021-04-25T14:57 K31+950 4212 蓝渝A259GM
D202150120001 2021-04-25T14:57 K31+950 3317 蓝渝D193Z5
D202150120001 2021-04-25T14:57 K31+950 4411 蓝渝FLC278
D202150120001 2021-04-25T14:57 K31+950 3195 黄渝F29750
D202150120001 2021-04-25T14:57 K31+950 4330 蓝渝D8V039
D202150120001 2021-04-25T14:57 K31+950 4332 蓝渝A7YM20
D202150120001 2021-04-25T14:57 K31+950 3907 蓝渝FDD390
D202150120001 2021-04-25T14:57 K31+950 3978 蓝渝FHH577
D202150120001 2021-04-25T14:57 K31+950 5151 蓝渝FL7029
D202150120001 2021-04-25T14:57 K31+950 4068 蓝渝AQ9K69
D202150120001 2021-04-25T14:57 K31+950 3961 蓝渝AY39S2
D202150120001 2021-04-25T14:57 K31+950 4879 蓝渝AM2S59
D202150120001 2021-04-25T14:57 K31+950 4008 蓝渝AR29Y3
D202150120001 2021-04-25T14:57 K31+950 4431 蓝渝A8B589
D202150120001 2021-04-25T14:57 K31+950 4032 蓝渝FL0313
